doi	title	authors	year	venue	publisher	crossref	openalex	semantic_scholar	doi_resolution	is_oa	oa_status	oa_pdf	oa_landing	cited_by_count
10.1038/s41598-023-33370-1	Echo chamber effects on short video platforms	Yichang Gao; Fengming Liu; Lei Gao	2023	Scientific Reports	Springer Science and Business Media LLC	matched	matched	matched	resolved	True	gold	https://www.nature.com/articles/s41598-023-33370-1.pdf	https://doi.org/10.1038/s41598-023-33370-1	82
10.1073/pnas.2025334119	Algorithmic amplification of politics on Twitter	Ferenc Huszár; Sofia Ira Ktena; Conor O’Brien; Luca Belli; Andrew Schlaikjer; Moritz Hardt	2022	Proceedings of the National Academy of Sciences	National Academy of Sciences	matched	matched	matched	resolved_restricted	True	green	https://arxiv.org/pdf/2110.11010	http://arxiv.org/abs/2110.11010	396
10.1126/science.aaa1160	Exposure to ideologically diverse news and opinion on Facebook	Eytan Bakshy; Solomon Messing; Lada A. Adamic	2015	Science	American Association for the Advancement of Science (AAAS)	matched	matched	matched	resolved_restricted	False	closed			3245
10.1145/2702123.2702556	"I always assumed that I wasn't really that close to [her]"	Motahhare Eslami; Aimee Rickman; Kristen Vaccaro; Amirhossein Aleyasen; Andy Vuong; Karrie Karahalios; Kevin Hamilton; Christian Sandvig	2015	Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems	ACM	matched	matched	matched	resolved_restricted	False	closed			610
10.1145/3351095.3372879	Auditing radicalization pathways on YouTube	Manoel Horta Ribeiro; Raphael Ottoni; Robert West; Virgílio A. F. Almeida; Wagner Meira	2020	Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency	ACM	matched	matched	matched	resolved_restricted	True	gold	https://dl.acm.org/action/downloadSupplement?doi=10.1145%2F3351095.3372879&file=p131-ribeiro-supp.pdf&download=true	https://doi.org/10.1145/3351095.3372879	48
10.1057/9781137029317_6	Entextualization and resemiotization as resources for identification in social media	Sirpa Leppänen; Samu Kytölä; Henna Jousmäki; Saija Peuronen; Elina Westinen	2014	The Language of Social Media	Palgrave Macmillan UK	matched	matched	matched	resolved	True	green	http://urn.fi/URN:NBN:fi:jyu-201501151116	http://urn.fi/URN:NBN:fi:jyu-201501151116	133
10.1080/10584609.2019.1686094	Disinformation by Design: The Use of Evidence Collages and Platform Filtering in a Media Manipulation Campaign	P. M. Krafft; Joan Donovan	2020	Political Communication	Informa UK Limited	matched	matched	matched	resolved_restricted	True	bronze	https://www.tandfonline.com/doi/pdf/10.1080/10584609.2019.1686094?needAccess=true	https://doi.org/10.1080/10584609.2019.1686094	181
10.1080/10584609.2019.1674979	A Picture Paints a Thousand Lies? The Effects and Mechanisms of Multimodal Disinformation and Rebuttals Disseminated via Social Media	Michael Hameleers; Thomas E. Powell; Toni G.L.A. Van Der Meer; Lieke Bos	2020	Political Communication	Informa UK Limited	matched	matched	matched	resolved_restricted	True	hybrid	https://www.tandfonline.com/doi/pdf/10.1080/10584609.2019.1674979?needAccess=true&	https://doi.org/10.1080/10584609.2019.1674979	265
10.1177/10776990211035395	Visual Mis- and Disinformation, Social Media, and Democracy	Viorela Dan; Britt Paris; Joan Donovan; Michael Hameleers; Jon Roozenbeek; Sander van der Linden; Christian von Sikorski	2021	Journalism &amp; Mass Communication Quarterly	SAGE Publications	matched	matched	matched	resolved_restricted	True	hybrid	https://journals.sagepub.com/doi/pdf/10.1177/10776990211035395	https://doi.org/10.1177/10776990211035395	135
10.1080/1369118x.2014.888458	Context collapse: theorizing context collusions and collisions	Jenny L Davis; Nathan Jurgenson	2014	Information, Communication &amp; Society	Informa UK Limited	matched	matched	matched	resolved_restricted	False	closed			443
10.1177/1461444810365313	I tweet honestly, I tweet passionately: Twitter users, context collapse, and the imagined audience	Alice E. Marwick; danah boyd	2011	New Media &amp; Society	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed			4532
10.1177/2056305116672884	Sociality and Classification: Reading Gender, Race, and Class in a Humorous Meme	Akane Kanai	2016	Social Media + Society	SAGE Publications	matched	matched	matched	resolved_restricted	True	gold	https://journals.sagepub.com/doi/pdf/10.1177/2056305116672884	https://doi.org/10.1177/2056305116672884	73
10.1016/j.chb.2017.04.056	Online first impressions: Person perception in social media profiles	Chantal Bacev-Giles; Reeshma Haji	2017	Computers in Human Behavior	Elsevier BV	matched	matched	matched	resolved	False	closed			53
10.3389/fpsyg.2021.656365	First Impression Formation Based on Valenced Self-Disclosure in Social Media Profiles	Yuren Qin; Hichang Cho; Pengxiang Li; Lianshan Zhang	2021	Frontiers in Psychology	Frontiers Media SA	matched	matched	matched	resolved	True	gold	https://www.frontiersin.org/articles/10.3389/fpsyg.2021.656365/pdf	https://doi.org/10.3389/fpsyg.2021.656365	14
10.1080/15213269.2024.2405679	Emotional Expressions and First Impression Formation in Social Media Profiles	Yuren Qin; Hichang Cho; Dongdong Yang; Pengxiang Li	2025	Media Psychology	Informa UK Limited	matched	matched	matched	resolved_restricted	False	closed			6
10.1037/h0025848	Attitudinal effects of mere exposure.	Robert B. Zajonc	1968	Journal of Personality and Social Psychology	American Psychological Association (APA)	matched	matched	matched	resolved	False	closed			6703
10.1016/s0022-5371(77)80012-1	Frequency and the conference of referential validity	Lynn Hasher; David Goldstein; Thomas Toppino	1977	Journal of Verbal Learning and Verbal Behavior	Elsevier BV	matched	matched	matched	resolved	False	closed			946
10.1177/1088868309352251	The Truth About the Truth: A Meta-Analytic Review of the Truth Effect	Alice Dechêne; Christoph Stahl; Jochim Hansen; Michaela Wänke	2010	Personality and Social Psychology Review	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed	http://methexp.uni-koeln.de/wp-content/uploads/2014/06/Dech%C3%AAne-Stahl-Hansen-W%C3%A4nke-2010.pdf		606
10.1037/xge0000098	Knowledge does not protect against illusory truth.	Lisa K. Fazio; Nadia M. Brashier; B. Keith Payne; Elizabeth J. Marsh	2015	Journal of Experimental Psychology: General	American Psychological Association (APA)	matched	matched	matched	resolved	True	hybrid	https://doi.org/10.1037/xge0000098	https://doi.org/10.1037/xge0000098	612
10.1037/xge0000465	Prior exposure increases perceived accuracy of fake news.	Gordon Pennycook; Tyrone D. Cannon; David G. Rand	2018	Journal of Experimental Psychology: General	American Psychological Association (APA)	matched	matched	matched	resolved	True	hybrid	https://doi.org/10.2139/ssrn.2958246	https://doi.org/10.1037/xge0000465	1190
10.1177/0963721419827854	Truth by Repetition: Explanations and Implications	Christian Unkelbach; Alex Koch; Rita R. Silva; Teresa Garcia-Marques	2019	Current Directions in Psychological Science	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed			198
10.1186/s41235-021-00301-5	The effects of repetition frequency on the illusory truth effect	Aumyo Hassan; Sarah J. Barber	2021	Cognitive Research: Principles and Implications	Springer Science and Business Media LLC	matched	matched	matched	resolved	True	gold	https://cognitiveresearchjournal.springeropen.com/counter/pdf/10.1186/s41235-021-00301-5	https://doi.org/10.1186/s41235-021-00301-5	224
10.1186/s41235-020-00251-4	Perceived truth of statements and simulated social media postings: an experimental investigation of source credibility, repeated exposure, and presentation format	Lena Nadarevic; Rolf Reber; Anne Josephine Helmecke; Dilara Köse	2020	Cognitive Research: Principles and Implications	Springer Science and Business Media LLC	matched	matched	matched	resolved	True	gold	https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-020-00251-4	https://doi.org/10.1186/s41235-020-00251-4	99
10.1016/j.cognition.2023.105421	The illusory truth effect leads to the spread of misinformation	Valentina Vellani; Sarah Zheng; Dilay Ercelik; Tali Sharot	2023	Cognition	Elsevier BV	matched	matched	matched	resolved	True	hybrid	https://doi.org/10.1016/j.cognition.2023.105421	https://doi.org/10.1016/j.cognition.2023.105421	78
10.1146/annurev-psych-010419-050807	Judging Truth	Nadia M. Brashier; Elizabeth J. Marsh	2020	Annual Review of Psychology	Annual Reviews	matched	matched	matched	resolved_restricted	False	closed			271
10.1037/0033-2909.111.2.256	Thin slices of expressive behavior as predictors of interpersonal consequences: A meta-analysis.	Nalini Ambady; Robert Rosenthal	1992	Psychological Bulletin	American Psychological Association (APA)	matched	matched	matched	resolved	False	closed			1878
10.1111/j.1467-9280.2006.01750.x	First Impressions	Janine Willis; Alexander Todorov	2006	Psychological Science	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed	https://doi.org/10.1016/b978-1-55860-921-1.50008-9		2304
10.1177/1948550619843930	Matters Order: The Role of Information Order on Implicit Impression Formation	Eva Fourakis; Jeremy Cone	2020	Social Psychological and Personality Science	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed			18
10.1002/ijop.12019	Cultural differences in the primacy effect for person perception	Kenji Noguchi; Akiko Kamada; Ilan Shrira	2013	International Journal of Psychology	Wiley	matched	matched	matched	resolved_restricted	False	closed			15
